BreweryName,BeerName,BeerType,ABV,NumReviews,AvgReview
Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Imperial Stout,12.0,793,4.9
3 Floyds Brewing Co.,Marshmallow Handjee,Russian Imperial Stout,15.0,1702,4.81
Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Imperial Stout,11.0,1615,4.79
Perennial Artisan Ales,Barrel-Aged Abraxas,American Imperial Stout,11.0,1536,4.79
The Alchemist,Heady Topper,New England IPA,8.0,14634,4.76
Tree House Brewing Company,King Julius,New England IPA,8.3,1119,4.77
Russian River Brewing Company,Pliny The Younger,American Imperial IPA,10.25,3265,4.75
Toppling Goliath Brewing Company,Mornin' Delight,American Imperial Stout,12.8,1575,4.76
Tree House Brewing Company,Very Hazy,New England IPA,8.6,970,4.76
Tree House Brewing Company,King JJJuliusss,New England IPA,8.4,533,4.78
Toppling Goliath Brewing Company,SR-71,American Imperial Stout,14.0,516,4.76
Bottle Logic Brewing,Fundamental Observation,American Imperial Stout,14.3,1383,4.72
Founders Brewing Company,CBS (Canadian Breakfast Stout),American Imperial Stout,11.3,6316,4.7
Russian River Brewing Company,Pliny The Elder,American Imperial IPA,8.0,15234,4.69
Brasserie Cantillon,Fou' Foune,Belgian Fruit Lambic,5.5,3138,4.69
Tree House Brewing Company,Juice Machine,New England IPA,8.2,977,4.71
Toppling Goliath Brewing Company,Assassin,American Imperial Stout,12.0,1386,4.7
Tree House Brewing Company,Very Green,New England IPA,8.6,1328,4.7
Tree House Brewing Company,Julius,New England IPA,6.8,4749,4.68
Lawson's Finest Liquids,Double Sunshine,American Imperial IPA,8.0,2511,4.68
Brouwerij 3 Fonteinen,Zenne Y Frontera,Belgian Lambic,7.0,303,4.76
Hill Farmstead Brewery,Abner,New England IPA,8.2,2788,4.67
Goose Island Beer Co.,Bourbon County Brand Stout,American Imperial Stout,14.7,12987,4.66
Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Belgian Quadrupel (Quad),10.2,6696,4.66
Maine Beer Company,Dinner,American Imperial IPA,8.2,2544,4.66
Angry Chair Brewing,Barrel Aged Imperial German Chocolate Cupcake Stout,American Imperial Stout,11.0,278,4.75
Founders Brewing Company,KBS (Kentucky Breakfast Stout),American Imperial Stout,12.3,13744,4.65
Firestone Walker Brewing Co.,Parabola,Russian Imperial Stout,13.0,6992,4.65
The Lost Abbey,Duck Duck Gooze,Belgian Gueuze,7.0,1919,4.66
AleSmith Brewing Company,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,American Imperial Stout,12.0,939,4.67
Tree House Brewing Company,JJJuliusss,New England IPA,6.8,703,4.68
Funky Buddha Brewery,Morning Wood,American Imperial Porter,12.0,1186,4.66
Brasserie Cantillon,Lou Pepe - Kriek,Belgian Fruit Lambic,5.0,1820,4.65
3 Floyds Brewing Co.,Zombie Dust,American Pale Ale (APA),6.2,10755,4.63
Goose Island Beer Co.,Bourbon County Brand Vanilla Stout,American Imperial Stout,14.9,1886,4.64
Tree House Brewing Company,Doubleganger,New England IPA,8.2,1016,4.65
Side Project Brewing,Fuzzy,American Wild Ale,8.0,946,4.65
Sante Adairius Rustic Ales,Westly,American Wild Ale,8.5,378,4.69
Hill Farmstead Brewery,Double Citra®,New England IPA,8.0,2019,4.63
Hill Farmstead Brewery,Ann,Belgian Saison,6.5,413,4.68
Cigar City Brewing,Hunahpu's Imperial Stout,American Imperial Stout,11.0,4375,4.62
Toppling Goliath Brewing Company,King Sue,New England IPA,7.8,2826,4.62
Jester King Brewery,Atrial Rubicite,American Wild Ale,5.8,1930,4.62
Trillium Brewing Company,Headroom,New England IPA,8.0,732,4.64
Hill Farmstead Brewery,Double Galaxy,New England IPA,8.0,1601,4.62
Russian River Brewing Company,Supplication,American Wild Ale,7.75,6607,4.6
The Lost Abbey,Cable Car,American Wild Ale,7.0,1090,4.62
Kern River Brewing Company,Citra,American Imperial IPA,8.0,1821,4.61
Tree House Brewing Company,Very GGGreennn,New England IPA,8.3,142,4.78
The Alchemist,Focal Banger,New England IPA,7.0,4067,4.6
Trillium Brewing Company,Double Dry Hopped Congress Street,New England IPA,7.2,1572,4.61
Tree House Brewing Company,Green,New England IPA,7.6,3221,4.6
Brasserie Cantillon,Lou Pepe - Framboise,Belgian Fruit Lambic,5.5,1399,4.61
Hill Farmstead Brewery,Aaron,British Barleywine,9.0,637,4.63
3 Floyds Brewing Co.,Chemtrailmix,Russian Imperial Stout,15.0,173,4.74
Side Project Brewing,Framboise Du Fermier,Belgian Saison,8.0,252,4.69
Lawson's Finest Liquids,Sip Of Sunshine,American Imperial IPA,8.0,5803,4.59
The Bruery,Black Tuesday,American Imperial Stout,19.5,4100,4.59
Bissell Brothers Brewing Co.,Swish,New England IPA,8.0,1594,4.6
3 Floyds Brewing Co.,BBADL (Bourbon Barrel Aged Dark Lord Imperial Stout),Russian Imperial Stout,15.0,936,4.61
Tree House Brewing Company,Haze,New England IPA,8.2,2959,4.59
Hill Farmstead Brewery,Society & Solitude #4,New England IPA,8.0,1366,4.6
The Bruery,Chocolate Rain,American Imperial Stout,19.6,2822,4.59
Russian River Brewing Company,Beatification,American Wild Ale,6.0,2817,4.59
Brouwerij 3 Fonteinen,Oude Geuze Vintage,Belgian Gueuze,6.0,827,4.61
Perennial Artisan Ales,Maman,American Imperial Stout,11.5,362,4.65
Kuhnhenn Brewing Company,Fourth Dementia - Bourbon Barrel-Aged,English Old Ale,13.5,1990,4.59
Tree House Brewing Company,Doppelganger,New England IPA,8.2,1957,4.59
Hill Farmstead Brewery,Ephraim,New England IPA,10.0,1083,4.6
de Garde Brewing,Nectarine Premiere,Belgian Saison,7.1,345,4.65
Trillium Brewing Company,Double Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.6,1692,4.59
Lawson's Finest Liquids,Triple Sunshine,American Imperial IPA,10.5,992,4.6
Hill Farmstead Brewery,Clover,Belgian Saison,6.5,189,4.71
Side Project Brewing,Anabasis,American Barleywine,14.0,156,4.73
Bell's Brewery - Eccentric Café & General Store,Black Note Stout,American Imperial Stout,11.2,4904,4.57
Voodoo Brewery,Grande Negro Voodoo Papi - Bourbon Barrel-Aged,American Imperial Stout,12.5,390,4.63
Prairie Artisan Ales,Bourbon Paradise,American Imperial Stout,15.9,537,4.61
Mikkeller ApS,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,American Imperial Stout,13.0,527,4.61
Tree House Brewing Company,Triple Shot,American Imperial Stout,9.0,527,4.61
Revolution Brewing,V.S.O.J.,British Barleywine,14.0,195,4.69
Brasserie Cantillon,Saint Lamvinus,Belgian Fruit Lambic,7.0,2229,4.57
Alpine Beer Company,Keene Idea,American Imperial IPA,8.88,491,4.61
Trillium Brewing Company,Galaxy Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.6,1731,4.57
de Garde Brewing,The Broken Truck,American Wild Ale,5.0,326,4.63
Side Project Brewing,Abricot Du Fermier,Belgian Saison,8.0,368,4.62
Tree House Brewing Company,Alter Ego,New England IPA,6.8,2491,4.56
Side Project Brewing,Saison Du Fermier,Belgian Saison,7.0,822,4.58
J. Wakefield Brewing,It Was All A Dream,American Imperial Stout,17.0,131,4.74
Founders Brewing Company,Breakfast Stout,American Imperial Stout,8.3,17518,4.55
Kane Brewing Company,Sunday Brunch,American Imperial Porter,9.2,791,4.58
Hill Farmstead Brewery,Flora Plum,Belgian Saison,5.0,349,4.62
Sante Adairius Rustic Ales,West Ashley,American Wild Ale,7.3,1142,4.57
Brasserie de Rochefort,Trappistes Rochefort 10,Belgian Quadrupel (Quad),11.3,9668,4.55
Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.3,1094,4.57
Fremont Brewing Company,Coffee Cinnamon B-Bomb,American Strong Ale,13.0,1015,4.57
Firestone Walker Brewing Co.,§ucaba,British Barleywine,12.5,5408,4.55
Hill Farmstead Brewery,Beyond Good And Evil,American Imperial Stout,10.0,707,4.58
Dark Horse Brewing Company,Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout,12.0,3310,4.55
Funky Buddha Brewery,Last Buffalo In The Park,American Imperial Porter,11.5,857,4.57
Boneyard Beer Company,Notorious Triple IPA,American Imperial IPA,12.0,856,4.57
Central Waters Brewing Co.,Black Gold,American Imperial Stout,11.0,794,4.57
Toppling Goliath Brewing Company,Pseudo Sue - Double Dry-Hopped,American Pale Ale (APA),6.8,1132,4.56
Parish Brewing Company,Ghost In The Machine - Double Dry-Hopped,New England IPA,8.0,265,4.63
Prairie Artisan Ales,Pirate Paradise,American Imperial Stout,13.0,292,4.62
Hill Farmstead Brewery,Society & Solitude #5,New England IPA,8.1,1594,4.55
J. Wakefield Brewing,Miami Madness,Berliner Weisse,5.5,443,4.59
Trillium Brewing Company,Cutting Tiles (Mosaic),New England IPA,8.5,1343,4.55
Brasserie Cantillon,Blåbær Lambik,Belgian Fruit Lambic,5.0,846,4.56
Boston Beer Company (Samuel Adams),Samuel Adams Utopias,American Strong Ale,28.0,2701,4.54
Fremont Brewing Company,The Rusty Nail,English Oatmeal Stout,14.5,623,4.57
Prairie Artisan Ales,Pirate Bomb!,American Imperial Stout,15.0,2385,4.54
de Garde Brewing,The Peach,American Wild Ale,7.3,270,4.62
AleSmith Brewing Company,Speedway Stout - Bourbon Barrel-Aged,American Imperial Stout,12.0,2264,4.54
Tree House Brewing Company,Double Shot,American Stout,7.6,1123,4.55
The Bruery,Grey Monday,American Imperial Stout,19.9,1882,4.54
Kane Brewing Company,Mexican Brunch,American Imperial Porter,9.2,566,4.57
Alpine Beer Company,Great,American Barleywine,14.0,733,4.56
Prairie Artisan Ales,Bomb!,American Imperial Stout,13.0,6454,4.53
Russian River Brewing Company,Consecration,American Wild Ale,10.0,5521,4.53
Toppling Goliath Brewing Company,Pseudo Sue,American Pale Ale (APA),5.8,5326,4.53
Funky Buddha Brewery,Wide Awake It's Morning,American Imperial Porter,10.0,973,4.55
Hangar 24 Brewing,Pugachev Royale,Russian Imperial Stout,14.8,316,4.6
Firestone Walker Brewing Co.,Parabajava,Russian Imperial Stout,14.0,884,4.55
Tree House Brewing Company,Gggreennn!,New England IPA,7.5,307,4.6
The Bruery,Black Tuesday - Reserve,American Imperial Stout,20.5,270,4.61
Brouwerij 3 Fonteinen,Framboos,Belgian Fruit Lambic,5.0,784,4.55
Brouwerij 3 Fonteinen,Hommage,Belgian Fruit Lambic,6.0,1054,4.54
Tree House Brewing Company,In Perpetuity,New England IPA,6.7,1045,4.54
Other Half Brewing Company - Brooklyn,Double Dry Hopped Double Mosaic Dream,New England IPA,8.5,558,4.56
Evil Twin Brewing,Imperial Biscotti Break - Bourbon Barrel-Aged,American Imperial Stout,11.5,1667,4.53
Surly Brewing Company,Abrasive Ale,American Imperial IPA,9.2,4700,4.52
Tree House Brewing Company,Moment Of Clarity,English Sweet / Milk Stout,7.7,428,4.57
The Bruery,Mocha Wednesday,American Imperial Stout,19.9,1459,4.53
Trillium Brewing Company,Scaled Way Up,New England IPA,8.0,508,4.56
3 Floyds Brewing Co.,Permanent Funeral,American Imperial IPA,10.5,3021,4.52
Perennial Artisan Ales,Barrel-Aged Sump Coffee Stout,American Imperial Stout,10.5,604,4.55
Hill Farmstead Brewery,Susan,New England IPA,6.2,2017,4.52
Deschutes Brewery,The Abyss,American Imperial Stout,11.4,7444,4.51
Other Half Brewing Company - Brooklyn,3rd Anniversary Imperial IPA,New England IPA,10.0,312,4.58
Surly Brewing Company,Darkness,Russian Imperial Stout,12.0,4103,4.51
Jester King Brewery,Montmorency Vs Balaton,American Wild Ale,6.1,887,4.53
Perrin Brewing Co.,No Rules,American Imperial Porter,15.0,1371,4.52
Trillium Brewing Company,Melcher Street (Double Dry-Hopped),New England IPA,7.2,1333,4.52
Hill Farmstead Brewery,Everett Porter,American Porter,7.5,2799,4.51
Fremont Brewing Company,Bourbon Barrel Aged Dark Star: Coffee Edition,English Oatmeal Stout,13.6,829,4.53
Trillium Brewing Company,Mosaic Dry Hopped Fort Point,American Pale Ale (APA),6.6,1264,4.52
Närke Kulturbryggeri AB,Kaggen! Stormaktsporter,Russian Imperial Stout,10.0,198,4.62
Great Notion Brewing,Double Stack,American Imperial Stout,11.0,603,4.54
Brasserie Cantillon,Lou Pepe - Gueuze,Belgian Gueuze,5.0,1235,4.52
Tree House Brewing Company,Hold On To Sunshine,English Sweet / Milk Stout,7.6,475,4.55
Trillium Brewing Company,Heavy Mettle,New England IPA,9.3,1190,4.52
Trillium Brewing Company,Congress Street IPA,New England IPA,7.2,2383,4.51
Other Half Brewing Company - Brooklyn,Double Dry Hopped Mylar Bags,New England IPA,8.5,464,4.55
AleSmith Brewing Company,Speedway Stout - Vietnamese Coffee,American Imperial Stout,12.0,1967,4.51
Brouwerij St. Bernardus NV,Abt 12,Belgian Quadrupel (Quad),10.0,10000,4.5
Other Half Brewing Company - Brooklyn,4th Anniversary,New England IPA,10.0,207,4.61
Trillium Brewing Company,Upper Case,New England IPA,9.0,996,4.52
Hill Farmstead Brewery,Society & Solitude #6,New England IPA,8.1,986,4.52
Perennial Artisan Ales,Abraxas,American Imperial Stout,10.0,2912,4.5
Hill Farmstead Brewery,Double Nelson,New England IPA,8.0,388,4.55
Trillium Brewing Company,Cutting Tiles (Galaxy),New England IPA,8.5,579,4.53
Brouwerij 3 Fonteinen,Oude Geuze Golden Blend,Belgian Gueuze,7.5,1141,4.51
Funky Buddha Brewery,Last Snow,American Porter,6.4,2113,4.5
Bell's Brewery - Eccentric Café & General Store,Hopslam Ale,American Imperial IPA,10.0,13713,4.49
Sante Adairius Rustic Ales,Saison Bernice,Belgian Saison,6.5,1008,4.51
Prairie Artisan Ales,Apple Brandy Barrel Noir,American Imperial Stout,12.0,1674,4.5
Hill Farmstead Brewery,Genealogy Of Morals - Bourbon Barrel-Aged,American Imperial Stout,10.7,667,4.52
Other Half Brewing Company - Brooklyn,Double Dry Hopped Double Mosaic Daydream,New England IPA,8.5,416,4.54
Bottle Logic Brewing,Ground State,American Imperial Stout,13.4,635,4.52
Firestone Walker Brewing Co.,Stickee Monkee,Belgian Quadrupel (Quad),12.5,2904,4.49
Hill Farmstead Brewery,Damon (Bourbon Barrel Aged),Russian Imperial Stout,10.5,811,4.51
Evil Twin Brewing,Double Barrel Jesus,American Imperial Stout,12.0,806,4.51
Alpine Beer Company,Bad Boy,American Imperial IPA,9.0,593,4.52
Brouwerij 3 Fonteinen,Oude Geuze Cuvée Armand & Gaston,Belgian Gueuze,6.5,580,4.52
Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 8 (VIII),Belgian Dubbel,8.0,2306,4.49
The Alchemist,Crusher,New England IPA,8.0,2260,4.49
Funky Buddha Brewery,Maple Bacon Coffee Porter,American Porter,6.4,2158,4.49
Jester King Brewery,Aurelian Lure,American Wild Ale,5.4,744,4.51
Side Project Brewing,La Fosse,American Wild Ale,8.0,375,4.54
New England Brewing Co.,Fuzzy Baby Ducks,New England IPA,6.2,1079,4.5
J. Wakefield Brewing,DFPF,Berliner Weisse,3.5,443,4.53
Toppling Goliath Brewing Company,Sosus,New England IPA,8.0,1853,4.49
Hair Of The Dog Brewing Company / Brewery And Tasting Room,Adam From The Wood,English Old Ale,12.0,1020,4.5
Tree House Brewing Company,Impermanence,English Sweet / Milk Stout,9.0,425,4.53
Lift Bridge Brewery,Barrel-Aged Silhouette,Russian Imperial Stout,10.0,513,4.52
Hill Farmstead Brewery,Art,Belgian Saison,6.5,501,4.52
Hair Of The Dog Brewing Company / Brewery And Tasting Room,Matt,American Strong Ale,11.5,897,4.5
Ozark Beer Co.,BDCS,American Imperial Stout,10.2,497,4.52
Brasserie Cantillon,Gueuze 100% Lambic,Belgian Gueuze,5.0,3890,4.48
Russian River Brewing Company,Temptation,American Wild Ale,7.5,3816,4.48
Prairie Artisan Ales,Barrel Aged Bomb!,American Imperial Stout,14.7,1205,4.49
Oskar Blues Grill & Brew,Ten FIDY - Bourbon Barrel Aged,American Imperial Stout,12.5,2119,4.48
Pelican Pub & Brewery,Mother Of All Storms,British Barleywine,14.0,2092,4.48
Westbrook Brewing Co.,Mexican Cake - Maple Bourbon Barrel-Aged,American Imperial Stout,10.2,149,4.62
Bottle Logic Brewing,Leche Borracho,American Imperial Stout,11.0,431,4.52
Angry Chair Brewing,Imperial German Chocolate Cupcake Stout,American Imperial Stout,11.5,243,4.56
Haymarket Beer Co. Pub & Brewery,Clare's Thirsty Ale,American Imperial Stout,12.5,309,4.54
Columbus Brewing Company,Bodhi,American Imperial IPA,8.5,1705,4.48
Casey Brewing & Blending,Casey / Side Project - Leaner,Belgian Saison,8.0,181,4.59
Brouwerij Rodenbach N.V.,Rodenbach Caractère Rouge,Flanders Red Ale,7.0,1555,4.48
Perennial Artisan Ales,Coffee Abraxas,American Imperial Stout,10.0,642,4.5
Pipeworks Brewing Company,Emerald Grouper,American Imperial IPA,9.5,886,4.49
Side Project Brewing,Black & Wild,American Wild Ale,10.0,210,4.57
Other Half Brewing Company - Brooklyn,Double Dry Hopped All Citra Everything,New England IPA,8.5,482,4.51
Alpine Beer Company,Kiwi Herman,American Wild Ale,7.0,292,4.54
Heist Brewery,Citraquench'l,New England IPA,7.1,287,4.54
Hill Farmstead Brewery,Birth Of Tragedy,American Imperial Porter,9.0,1279,4.48
Cigar City Brewing,Hunahpu's Imperial Stout - Bourbon Barrel-Aged,American Imperial Stout,14.6,385,4.52
Hill Farmstead Brewery,Flora,Belgian Saison,4.8,783,4.49
Avery Brewing Company,Tweak,American Imperial Stout,16.0,2644,4.47
Cigar City Brewing,Caffè Americano,American Imperial Stout,12.0,1196,4.48
Fat Head's Brewery & Saloon,Hop JuJu Imperial IPA,American Imperial IPA,9.0,2325,4.47
Fiddlehead Brewing Company,Second Fiddle,American Imperial IPA,8.2,2217,4.47
Trillium Brewing Company,Fort Point Pale Ale,American Pale Ale (APA),6.6,2212,4.47
Jackie O's Pub & Brewery,Bourbon Barrel Oro Negro,American Imperial Stout,12.1,554,4.5
Jackie O's Pub & Brewery,Bourbon Barrel Black Maple,American Imperial Porter,11.0,1095,4.48
FiftyFifty Brewing Co.,Imperial Eclipse Stout - Elijah Craig (12 Year),American Imperial Stout,11.9,2012,4.47
Hill Farmstead Brewery,Juicy,Belgian Saison,7.4,710,4.49
Bottle Logic Brewing,Space Trace,American Imperial Stout,11.1,361,4.52
Tree House Brewing Company,"Somewhere, Something Incredible Is Waiting To Be Known",English Sweet / Milk Stout,7.9,360,4.52
Parish Brewing Company,Ghost In The Machine,New England IPA,8.0,1011,4.48
Cascade Brewing / Raccoon Lodge & Brewpub,Sang Noir,American Wild Ale,9.3,1821,4.47
Jackie O's Pub & Brewery,Jackie O's / Side Project - Appervation,American Imperial Stout,15.0,267,4.54
Trillium Brewing Company,Vicinity,New England IPA,8.0,1731,4.47
Jackie O's Pub & Brewery,Bourbon Barrel Champion Ground,American Imperial Stout,12.0,637,4.49
Alpine Beer Company,Nelson,American IPA,7.0,4225,4.46
Logsdon Farmhouse Ales,Peche 'n Brett,Belgian Saison,10.0,1440,4.47
Brouwerij 3 Fonteinen,Schaerbeekse Kriek,Belgian Fruit Lambic,6.0,857,4.48
Stone Brewing,Fyodor,Russian Imperial Stout,13.1,1393,4.47
Side Project Brewing,Thicket,American Wild Ale,6.0,254,4.54
Surly Brewing Company,Axe Man,American IPA,7.2,2875,4.46
Allagash Brewing Company,Coolship Red,Belgian Fruit Lambic,5.7,728,4.48
Trillium Brewing Company,Double Dry Hopped Sleeper Street,New England IPA,7.2,1086,4.47
Sante Adairius Rustic Ales,Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,Belgian Saison,6.5,523,4.49
Bell's Brewery - Eccentric Café & General Store,Expedition Stout - Bourbon Barrel-Aged,Russian Imperial Stout,13.4,683,4.48
Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,German Hefeweizen,5.4,8843,4.45
Side Project Brewing,Blanc De Blancs,Bière de Champagne / Bière Brut,10.0,301,4.52
Hill Farmstead Brewery,Flora - Blueberry,Belgian Saison,NA,260,4.53
Bottle Logic Brewing,Darkstar November,Russian Imperial Stout,13.7,645,4.48
Tree House Brewing Company,All That Is And All That Ever Will Be,English Sweet / Milk Stout,6.5,398,4.5
Fiddlehead Brewing Company,Mastermind,New England IPA,8.1,1449,4.46
Fremont Brewing Company,Coconut B-Bomb,American Strong Ale,13.0,255,4.53
Hill Farmstead Brewery,Dorothy (Wine Barrel Aged),Belgian Saison,7.0,227,4.54
Bottle Logic Brewing,Fundamental Forces,American Imperial Stout,16.2,124,4.62
WeldWerks Brewing Co.,Medianoche - Coconut,American Imperial Stout,14.1,128,4.61
Stone Brewing,Enjoy By IPA,American Imperial IPA,9.4,11120,4.44
Hoof Hearted Brewing,Dragonsaddle,New England IPA,11.5,343,4.5
Trillium Brewing Company,Scaled Up,New England IPA,8.0,937,4.46
4 Hands Brewing Co.,Madagascar,English Sweet / Milk Stout,9.3,897,4.46
Pipeworks Brewing Company,Sure Bet,American Imperial IPA,9.5,626,4.47
